BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
7194,0.004,0.0099,0.0306,0.075,1,4.2672,1402000.0,4.1261e+06,0.00913,1.2378e+07,0.16438,0.6,0.1
7195,0.004,0.0099,0.0306,0.075,1,4.2672,1186000.0,3.4904e+06,0.00913,1.0471e+07,0.16438,0.6,0.1
7196,0.004,0.012,0.04,0.1,2,2.1336,1159000.0,"9.0958e+06,6.0639e+06","0.03721,0.02480","2.7287e+07,1.8192e+07","0.89218,0.59479",0.8,0.1
7197,0.004,0.012,0.04,0.1,2,2.1336,1741000.0,"1.3663e+07,9.1089e+06","0.03721,0.02480","4.0990e+07,2.7327e+07","0.89218,0.59479",0.8,0.1
7198,0.004,0.012,0.04,0.1,2,2.1336,1741000.0,"1.3663e+07,9.1089e+06","0.03721,0.02480","4.0990e+07,2.7327e+07","0.89218,0.59479",0.8,0.1
7199,0.004,0.0099,0.0306,0.075,1,4.2672,2219000.0,6.5305e+06,0.00913,1.9592e+07,0.16438,0.6,0.1
7200,0.004,0.012,0.04,0.1,1,4.2672,1463000.0,5.7408e+06,0.01218,1.7222e+07,0.29197,0.8,0.1
7201,0.004,0.012,0.04,0.1,1,4.2672,1468000.0,5.7604e+06,0.01218,1.7281e+07,0.29197,0.8,0.1
7202,0.004,0.012,0.04,0.1,2,2.1336,5630000.0,"4.4184e+07,2.9456e+07","0.03721,0.02480","1.3255e+08,8.8368e+07","0.89218,0.59479",0.8,0.1
7203,0.004,0.0099,0.0306,0.075,1,4.2672,1116000.0,3.2844e+06,0.00913,9.8532e+06,0.16438,0.6,0.1
7204,0.004,0.0099,0.0306,0.075,1,4.2672,980000.0,2.8841e+06,0.00913,8.6524e+06,0.16438,0.6,0.1
7205,0.004,0.012,0.04,0.1,2,2.1336,2140000.0,"1.6795e+07,1.1196e+07","0.03721,0.02480","5.0384e+07,3.3589e+07","0.89218,0.59479",0.8,0.1
7206,0.004,0.0099,0.0306,0.075,1,4.2672,2600000.0,7.6518e+06,0.00913,2.2955e+07,0.16438,0.6,0.1
7207,0.004,0.0099,0.0306,0.075,1,4.2672,2628000.0,7.7342e+06,0.00913,2.3203e+07,0.16438,0.6,0.1
7208,0.004,0.0099,0.0306,0.075,1,4.2672,1528500.0,4.4984e+06,0.00913,1.3495e+07,0.16438,0.6,0.1
7209,0.004,0.0099,0.0306,0.075,1,4.2672,720000.0,2.1190e+06,0.00913,6.3569e+06,0.16438,0.6,0.1
7210,0.004,0.0099,0.0306,0.075,1,4.2672,2306666.6666666665,6.7885e+06,0.00913,2.0366e+07,0.16438,0.6,0.1
7211,0.004,0.0099,0.0306,0.075,1,4.2672,1893000.0,5.5711e+06,0.00913,1.6713e+07,0.16438,0.6,0.1
7212,0.004,0.0099,0.0306,0.075,1,4.2672,1040000.0,3.0607e+06,0.00913,9.1822e+06,0.16438,0.6,0.1
7213,0.004,0.0099,0.0306,0.075,1,4.2672,1040000.0,3.0607e+06,0.00913,9.1822e+06,0.16438,0.6,0.1
7214,0.004,0.008,0.024,0.07,1,6.096,11965000.0,6.2562e+07,0.00406,1.2512e+08,0.06483,0.6,0.1
7215,0.003,0.006,0.015,0.035,1,,20000000.0,1.9620e+07,0.00076,4.4145e+07,0.00856,0.3,0.4
7216,0.003,0.006,0.015,0.035,1,,1770000.0,1.7364e+06,0.00076,3.9068e+06,0.00856,0.3,0.4
7217,0.004,0.0099,0.0306,0.075,1,4.2672,1556000.0,4.5793e+06,0.00913,1.3738e+07,0.16438,0.6,0.1
7218,0.004,0.012,0.04,0.1,1,4.2672,595000.0,2.3348e+06,0.01218,7.0043e+06,0.29197,0.8,0.1
