id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ResidentialUnits,OccupancyClass,RepairCost,StructureType,ReplacementCost,Vs30
4650,37.4615005,-121.909655,1032.0,1,1960,1,RES1,14203.223044776047,W1,206400.0,352.1798400878906
4652,37.46337607262688,-121.90703283415223,5502.6,1,1940,1,COM10,176237.56230234192,C1,865328.8,352.116943359375
4653,37.449334694282825,-121.90525875048486,3140.5,2,1980,2,RES1,93122.99897697066,W1,628100.0,293.99786376953125
4654,37.44982529011897,-121.91135977334494,48079.0,1,1986,0,IND2,378972.0,RM2,4687702.5,228.67893981933594
4655,37.450478622105955,-121.90905753434454,2412.0,2,1979,1,RES1,71497.5312968473,W1,482400.0,294.0146484375
4656,37.45117331427943,-121.9146974764169,4505.5,2,1989,3,RES1,136002.18181818182,W1,901100.0,228.6962432861328
4657,37.4527065,-121.912623,144.8780487804878,1,1961,0,RES3,2609.7028824833706,W1,28975.60975609756,228.6140594482422
4658,37.45300800271782,-121.9047871931255,2125.0,2,1966,1,RES1,49462.18618273961,W1,425000.0,293.8517150878906
4659,37.4539705,-121.9110455,129.91666666666666,2,1987,0,RES1,3811.3939393939395,W1,25983.333333333332,293.95196533203125
4660,37.454456951937026,-121.91247669815621,1473.076923076923,1,2000,0,COM1,7248.538461538462,S2,155115.0,293.9418640136719
4661,37.4548355,-121.9088785,355.6666666666667,1,1955,0,RES3,5702.170009568114,W1,71133.33333333333,293.8769836425781
4662,37.455130829975786,-121.9043918793788,1100.0,1,1958,1,RES3,16307.773934807512,W1,220000.0,352.2724304199219
4663,37.456678,-121.9095515,8638.4,1,1962,0,COM1,57985.8,RM2,909623.52,293.8456115722656
4664,37.44055,-121.9170535,2545.0,2,1985,1,RES1,79063.27272727272,W1,509000.0,229.42593383789062
4665,37.44358054585982,-121.91567669211643,2157.5,1,1978,3,RES3,43597.818181818184,W1,431500.0,229.0920867919922
4666,37.440569935543046,-121.90900963783442,1145.0,1,1966,1,RES1,28626.02088834403,W1,229000.0,229.0440216064453
4667,37.441291,-121.9058565,3639.0,2,1984,2,RES1,107365.81818181818,W1,727800.0,228.87582397460938
4668,37.44233524409068,-121.9101806323246,1773.0,2,1979,1,RES1,54419.85958740056,W1,354600.0,228.9739532470703
4669,37.44342024171878,-121.91269434922437,3300.5,1,1980,2,RES1,67159.66068475861,W1,660100.0,229.0157928466797
4670,37.44389718443317,-121.90665193618565,757.0,2,1988,0,RES1,21189.818181818184,W1,151400.0,228.78370666503906
4671,37.44405928087903,-121.91095890530055,1475.0,1,1979,1,RES1,29588.986382677635,W1,295000.0,228.91001892089844
4672,37.44475563443524,-121.91310625233653,977.5,1,1979,0,RES1,19523.64273361088,W1,195500.0,228.9488067626953
4673,37.4462755,-121.911536,2769.5,2,1990,2,RES1,82837.81818181819,W1,553900.0,228.81283569335938
4674,37.446853,-121.9118355,2710.0,2,1990,2,RES1,82525.81818181818,W1,542000.0,228.81283569335938
4677,37.4579475,-121.901266,1634.0,2,1967,1,RES1,49567.55007055534,W1,326800.0,352.1504821777344
4678,37.4585595,-121.902393,1240.0,1,1963,1,RES1,18153.20565729941,W1,248000.0,352.1434631347656
4679,37.45896005476702,-121.90386668640663,1015.0,1,1963,1,RES3,14962.98665838637,W1,203000.0,352.16156005859375
4680,37.45995094161575,-121.9024251873727,1219.0,1,1963,1,RES1,18077.738741843983,W1,243800.0,352.12835693359375
4681,37.4602254591698,-121.89710904253938,2520.0,2,1989,1,RES1,75542.76046865655,W1,504000.0,352.0775451660156
4682,37.45866293378559,-121.87834916101825,10970.0,3,1991,2,RES1,439873.57933275594,C2,2194000.0,519.2969360351562
4683,37.463029035072886,-121.87906973809125,5227.0,1,1990,1,RES1,121803.72732066309,W1,1045400.0,523.9871215820312
4684,37.4518335688005,-121.89501313487621,3261.0,2,1970,1,RES1,78894.46712814087,W1,652200.0,293.7571716308594
4685,37.4533945,-121.8924025,5112.0,2,1986,2,RES1,144494.2961532702,W1,1022400.0,352.153076171875
4686,37.43999234977144,-121.89704782588261,2514.0,2,1988,1,RES1,62802.00761387209,W1,502800.0,228.6995086669922
4687,37.44120035270806,-121.90330523822102,2005.0,2,1984,1,RES1,58046.272488695526,W1,401000.0,228.79757690429688
4688,37.441318467930905,-121.90238858768554,1139.0,1,1979,1,RES1,19101.052539071374,W1,227800.0,228.77322387695312
4689,37.441387218467796,-121.90183168873442,1245.0,1,1979,1,RES1,17498.88280284139,W1,249000.0,228.74972534179688
4690,37.44144990162046,-121.90166423397316,1441.0,1,1979,1,RES1,18673.83036592015,W1,288200.0,228.74972534179688
4691,37.442175653526164,-121.90067827066325,1482.0,1,1979,1,RES1,21847.295613977578,W1,296400.0,228.69627380371094
4692,37.44301925204674,-121.90147740488386,2496.0,2,1990,1,RES1,60875.12796284167,W1,499200.0,228.68692016601562
4693,37.443560412178485,-121.89706197739186,2226.0,2,1975,1,RES1,64491.854214876425,W1,445200.0,228.57369995117188
4694,37.44377261235,-121.89755323008782,1980.0,2,1975,1,RES1,57157.4066674494,W1,396000.0,228.57369995117188
4695,37.44414686679406,-121.8984093793941,1396.0,1,1975,1,RES1,16019.331845785664,W1,279200.0,228.58920288085938
4696,37.44503461771738,-121.90200397207681,1142.0,2,1981,1,RES1,32480.153375552858,W1,228400.0,228.6490478515625
4697,37.44833571714231,-121.89890509085615,857.5,2,1990,0,RES1,24206.528565658347,W1,171500.0,293.8875427246094
4698,37.44027695318092,-121.89330261625328,2720.0,2,1984,1,RES1,67845.10965768641,W1,544000.0,293.9894714355469
4699,37.441421,-121.8908035,4003.0,2,1982,2,RES1,104773.75626723384,W1,800600.0,293.91070556640625
