BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
6274,0.004,0.0099,0.0306,0.075,1,4.1820162422655764,4800000.0,1.4126e+07,0.00913,4.2379e+07,0.16438,0.6,0.1
6275,0.004,0.0099,0.0306,0.075,1,4.2852728414281245,13800000.0,4.0613e+07,0.00913,1.2184e+08,0.16438,0.6,0.1
6276,0.004,0.0099,0.0306,0.075,2,2.232945314970519,11544666.666666666,"6.7952e+07,4.5301e+07","0.02790,0.01860","2.0386e+08,1.3590e+08","0.50229,0.33486",0.6,0.1
6277,0.004,0.0099,0.0306,0.075,2,2.1141107719141994,39600000.0,"2.3309e+08,1.5539e+08","0.02790,0.01860","6.9926e+08,4.6617e+08","0.50229,0.33486",0.6,0.1
6278,0.004,0.0099,0.0306,0.075,1,4.016849700757413,78924666.66666667,2.3228e+08,0.00913,6.9683e+08,0.16438,0.6,0.1
6279,0.0032,0.0051,0.0128,0.035,3,2.0377731405934805,53842000.0,"2.1075e+08,1.7562e+08,1.0537e+08","0.00541,0.00451,0.00271","4.2150e+08,3.5125e+08,2.1075e+08","0.06451,0.05376,0.03225",0.2,0.1
6280,0.004,0.0099,0.0306,0.075,2,2.1457378857139906,82799000.0,"4.8735e+08,3.2490e+08","0.02790,0.01860","1.4621e+09,9.7471e+08","0.50229,0.33486",0.6,0.1
6281,0.004,0.0099,0.0306,0.075,1,4.307035101412507,103933000.0,3.0587e+08,0.00913,9.1762e+08,0.16438,0.6,0.1
6282,0.004,0.0099,0.0306,0.075,1,4.468047222704095,2000000.0,5.8860e+06,0.00913,1.7658e+07,0.16438,0.6,0.1
6283,0.004,0.0099,0.0306,0.075,1,4.490230498701032,2800000.0,8.2404e+06,0.00913,2.4721e+07,0.16438,0.6,0.1
6284,0.004,0.0099,0.0306,0.075,2,2.0711420088924135,2800000.0,"1.6481e+07,1.0987e+07","0.02790,0.01860","4.9442e+07,3.2962e+07","0.50229,0.33486",0.6,0.1
6285,0.004,0.0099,0.0306,0.075,2,2.0688719788336694,45150000.0,"2.6575e+08,1.7717e+08","0.02790,0.01860","7.9726e+08,5.3151e+08","0.50229,0.33486",0.6,0.1
6286,0.004,0.0099,0.0306,0.075,2,2.0254679460624745,6750000.0,"3.9730e+07,2.6487e+07","0.02790,0.01860","1.1919e+08,7.9461e+07","0.50229,0.33486",0.6,0.1
6287,0.004,0.0099,0.0306,0.075,1,4.418934739854846,6000000.0,1.7658e+07,0.00913,5.2974e+07,0.16438,0.6,0.1
6288,0.0048,0.0076,0.0162,0.04,3,2.62159547387602,227159000.0,"4.1449e+08,3.4541e+08,2.0724e+08","0.00515,0.00429,0.00257","1.2435e+09,1.0362e+09,6.2173e+08","0.09369,0.07807,0.04684",1.0,0.0
6289,0.004,0.0099,0.0306,0.075,2,2.100250445730648,5400000.0,"3.1784e+07,2.1190e+07","0.02790,0.01860","9.5353e+07,6.3569e+07","0.50229,0.33486",0.6,0.1
6290,0.004,0.0099,0.0306,0.075,1,4.215998039435249,18000000.0,5.2974e+07,0.00913,1.5892e+08,0.16438,0.6,0.1
6291,0.004,0.0099,0.0306,0.075,2,2.295957164555074,3600000.0,"2.1190e+07,1.4126e+07","0.02790,0.01860","6.3569e+07,4.2379e+07","0.50229,0.33486",0.6,0.1
6292,0.0032,0.0061,0.0158,0.04,3,2.084019378134637,68520000.0,"2.0165e+08,1.6805e+08,1.0083e+08","0.00407,0.00339,0.00203","5.0414e+08,4.2011e+08,2.5207e+08","0.06104,0.05087,0.03052",0.2,0.4
6293,0.004,0.0099,0.0306,0.075,2,2.180648869615659,5400000.0,"3.1784e+07,2.1190e+07","0.02790,0.01860","9.5353e+07,6.3569e+07","0.50229,0.33486",0.6,0.1
6294,0.004,0.0099,0.0306,0.075,2,2.010261611520698,1200000.0,"7.0632e+06,4.7088e+06","0.02790,0.01860","2.1190e+07,1.4126e+07","0.50229,0.33486",0.6,0.1
6295,0.004,0.0099,0.0306,0.075,1,4.414498678078542,59982000.0,1.7653e+08,0.00913,5.2958e+08,0.16438,0.6,0.1
6296,0.004,0.0099,0.0306,0.075,2,2.036746897322439,1200000.0,"7.0632e+06,4.7088e+06","0.02790,0.01860","2.1190e+07,1.4126e+07","0.50229,0.33486",0.6,0.1
6297,0.004,0.0069,0.0187,0.0525,3,1.9199891220400263,7200000.0,"5.6576e+07,4.7147e+07,2.8288e+07","0.01087,0.00905,0.00543","1.1315e+08,9.4294e+07,5.6576e+07","0.13084,0.10903,0.06542",0.4,0.1
6298,0.004,0.0099,0.0306,0.075,2,2.096925270810035,1200000.0,"7.0632e+06,4.7088e+06","0.02790,0.01860","2.1190e+07,1.4126e+07","0.50229,0.33486",0.6,0.1
6299,0.004,0.0099,0.0306,0.075,2,2.072013951477714,1200000.0,"7.0632e+06,4.7088e+06","0.02790,0.01860","2.1190e+07,1.4126e+07","0.50229,0.33486",0.6,0.1
6300,0.004,0.0099,0.0306,0.075,2,2.1100902290706687,1200000.0,"7.0632e+06,4.7088e+06","0.02790,0.01860","2.1190e+07,1.4126e+07","0.50229,0.33486",0.6,0.1
