BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
9070,0.004,0.0099,0.0306,0.075,2,2.2343705876554636,2266000.0,"1.3338e+07,8.8918e+06","0.02790,0.01860","4.0013e+07,2.6675e+07","0.50229,0.33486",0.6,0.1
9071,0.004,0.0099,0.0306,0.075,1,4.157551603345586,1966000.0,5.7859e+06,0.00913,1.7358e+07,0.16438,0.6,0.1
9072,0.004,0.0099,0.0306,0.075,1,3.9395909100681092,1728000.0,5.0855e+06,0.00913,1.5257e+07,0.16438,0.6,0.1
9073,0.004,0.0099,0.0306,0.075,2,2.2986398305735563,2056000.0,"1.2102e+07,8.0677e+06","0.02790,0.01860","3.6305e+07,2.4203e+07","0.50229,0.33486",0.6,0.1
9074,0.004,0.0099,0.0306,0.075,2,2.3644287238226545,1335500.0,"7.8608e+06,5.2405e+06","0.02790,0.01860","2.3582e+07,1.5722e+07","0.50229,0.33486",0.6,0.1
9075,0.004,0.0099,0.0306,0.075,2,2.304701190239215,2911000.0,"1.7134e+07,1.1423e+07","0.02790,0.01860","5.1402e+07,3.4268e+07","0.50229,0.33486",0.6,0.1
9076,0.004,0.0099,0.0306,0.075,1,4.196154780549637,2086000.0,6.1391e+06,0.00913,1.8417e+07,0.16438,0.6,0.1
9077,0.004,0.0099,0.0306,0.075,1,4.027823507592442,1379000.0,4.0584e+06,0.00913,1.2175e+07,0.16438,0.6,0.1
9078,0.004,0.0099,0.0306,0.075,1,4.045777479392823,1034000.0,3.0431e+06,0.00913,9.1292e+06,0.16438,0.6,0.1
9079,0.004,0.0099,0.0306,0.075,1,3.9226649070917086,2200000.0,6.4746e+06,0.00913,1.9424e+07,0.16438,0.6,0.1
9080,0.0032,0.0079,0.0245,0.06,3,2.425343479983752,6434500.0,"1.8937e+07,1.5781e+07,9.4684e+06","0.00532,0.00443,0.00266","4.7342e+07,3.9452e+07,2.3671e+07","0.07807,0.06506,0.03903",0.2,0.1
9081,0.004,0.0099,0.0306,0.075,2,2.311957554334603,2451000.0,"1.4427e+07,9.6177e+06","0.02790,0.01860","4.3280e+07,2.8853e+07","0.50229,0.33486",0.6,0.1
9082,0.004,0.0099,0.0306,0.075,2,2.118540826446641,3172000.0,"1.8670e+07,1.2447e+07","0.02790,0.01860","5.6011e+07,3.7341e+07","0.50229,0.33486",0.6,0.1
9083,0.004,0.0099,0.0306,0.075,1,4.332193602810845,2098000.0,6.1744e+06,0.00913,1.8523e+07,0.16438,0.6,0.1
9084,0.004,0.0099,0.0306,0.075,2,2.285513080665216,2825000.0,"1.6628e+07,1.1085e+07","0.02790,0.01860","4.9884e+07,3.3256e+07","0.50229,0.33486",0.6,0.1
9085,0.004,0.0099,0.0306,0.075,2,2.0909236963014806,1185000.0,"6.9749e+06,4.6499e+06","0.02790,0.01860","2.0925e+07,1.3950e+07","0.50229,0.33486",0.6,0.1
9086,0.004,0.0099,0.0306,0.075,2,2.362185539898464,3421000.0,"2.0136e+07,1.3424e+07","0.02790,0.01860","6.0408e+07,4.0272e+07","0.50229,0.33486",0.6,0.1
9087,0.004,0.0099,0.0306,0.075,2,2.357060788536403,1005000.0,"5.9154e+06,3.9436e+06","0.02790,0.01860","1.7746e+07,1.1831e+07","0.50229,0.33486",0.6,0.1
9088,0.004,0.0099,0.0306,0.075,1,4.239317577178595,1761000.0,5.1826e+06,0.00913,1.5548e+07,0.16438,0.6,0.1
9089,0.004,0.0099,0.0306,0.075,2,2.0728697103045732,2008000.0,"1.1819e+07,7.8794e+06","0.02790,0.01860","3.5457e+07,2.3638e+07","0.50229,0.33486",0.6,0.1
9090,0.004,0.0099,0.0306,0.075,2,2.2092930913757964,2200000.0,"1.2949e+07,8.6328e+06","0.02790,0.01860","3.8848e+07,2.5898e+07","0.50229,0.33486",0.6,0.1
9091,0.004,0.0099,0.0306,0.075,2,2.096846284713488,1111000.0,"6.5393e+06,4.3596e+06","0.02790,0.01860","1.9618e+07,1.3079e+07","0.50229,0.33486",0.6,0.1
9092,0.004,0.0099,0.0306,0.075,2,2.013718339111346,805500.0,"4.7412e+06,3.1608e+06","0.02790,0.01860","1.4224e+07,9.4823e+06","0.50229,0.33486",0.6,0.1
9093,0.004,0.0099,0.0306,0.075,1,4.549511238676275,1582833.3333333337,4.6583e+06,0.00913,1.3975e+07,0.16438,0.6,0.1
9094,0.004,0.012,0.04,0.1,1,4.534796656258109,1411500.0,5.5387e+06,0.01218,1.6616e+07,0.29197,0.8,0.1
9095,0.004,0.0099,0.0306,0.075,2,2.150254643737367,3220333.333333333,"1.8955e+07,1.2637e+07","0.02790,0.01860","5.6865e+07,3.7910e+07","0.50229,0.33486",0.6,0.1
9096,0.004,0.0099,0.0306,0.075,1,4.006085727376662,2290500.0,6.7409e+06,0.00913,2.0223e+07,0.16438,0.6,0.1
9097,0.004,0.0099,0.0306,0.075,1,4.012769141158303,593000.0,1.7452e+06,0.00913,5.2356e+06,0.16438,0.6,0.1
9098,0.004,0.0099,0.0306,0.075,1,4.290139881705779,593000.0,1.7452e+06,0.00913,5.2356e+06,0.16438,0.6,0.1
9099,0.004,0.0099,0.0306,0.075,1,4.161869293397446,4171000.0,1.2275e+07,0.00913,3.6826e+07,0.16438,0.6,0.1
9100,0.004,0.0099,0.0306,0.075,1,4.195041480026802,3681000.0,1.0833e+07,0.00913,3.2500e+07,0.16438,0.6,0.1
9101,0.004,0.0099,0.0306,0.075,1,4.4909130465175116,1116000.0,3.2844e+06,0.00913,9.8532e+06,0.16438,0.6,0.1
9102,0.004,0.0099,0.0306,0.075,1,4.426533801979831,500000.0,1.4715e+06,0.00913,4.4145e+06,0.16438,0.6,0.1
9103,0.004,0.0099,0.0306,0.075,2,2.285804012563559,1620500.0,"9.5383e+06,6.3588e+06","0.02790,0.01860","2.8615e+07,1.9077e+07","0.50229,0.33486",0.6,0.1
9104,0.004,0.0099,0.0306,0.075,1,4.0609897036423375,1476000.0,4.3439e+06,0.00913,1.3032e+07,0.16438,0.6,0.1
9105,0.004,0.0099,0.0306,0.075,1,4.1946013097532315,2558666.6666666665,7.5302e+06,0.00913,2.2590e+07,0.16438,0.6,0.1
9106,0.004,0.0099,0.0306,0.075,1,7.598139843889175,2375000.0,4.6598e+06,0.00199,1.1649e+07,0.03014,0.4,0.1
9107,0.004,0.0099,0.0306,0.075,1,4.363880967088396,2485500.0,7.3148e+06,0.00913,2.1944e+07,0.16438,0.6,0.1
9108,0.004,0.0099,0.0306,0.075,1,4.607000035110932,1462666.6666666667,4.3046e+06,0.00913,1.2914e+07,0.16438,0.6,0.1
9109,0.004,0.0099,0.0306,0.075,1,4.357875682058939,1625500.0,4.7838e+06,0.00913,1.4352e+07,0.16438,0.6,0.1
9110,0.004,0.0099,0.0306,0.075,2,2.3401526191247584,2338500.0,"1.3764e+07,9.1763e+06","0.02790,0.01860","4.1293e+07,2.7529e+07","0.50229,0.33486",0.6,0.1
9111,0.004,0.0099,0.0306,0.075,1,4.38398779007747,1193333.3333333333,3.5120e+06,0.00913,1.0536e+07,0.16438,0.6,0.1
9112,0.004,0.0064,0.016,0.04,3,2.5713999002852543,3406333.333333333,"1.0025e+07,8.3540e+06,5.0124e+06","0.00532,0.00443,0.00266","2.0050e+07,1.6708e+07,1.0025e+07","0.06246,0.05205,0.03123",0.2,0.0
9113,0.004,0.0099,0.0306,0.075,1,4.1987301196461155,1143500.0,3.3653e+06,0.00913,1.0096e+07,0.16438,0.6,0.1
9114,0.004,0.0099,0.0306,0.075,1,4.2702494085865546,3087000.0,9.0850e+06,0.00913,2.7255e+07,0.16438,0.6,0.1
9115,0.004,0.0099,0.0306,0.075,1,4.466053329805235,1068500.0,3.1446e+06,0.00913,9.4338e+06,0.16438,0.6,0.1
9116,0.004,0.0099,0.0306,0.075,2,2.3128015974406897,2161000.0,"1.2720e+07,8.4798e+06","0.02790,0.01860","3.8159e+07,2.5439e+07","0.50229,0.33486",0.6,0.1
9117,0.004,0.0099,0.0306,0.075,2,2.212830668343401,1004000.0,"5.9095e+06,3.9397e+06","0.02790,0.01860","1.7729e+07,1.1819e+07","0.50229,0.33486",0.6,0.1
9118,0.004,0.0099,0.0306,0.075,2,2.1247456589114297,1351000.0,"7.9520e+06,5.3013e+06","0.02790,0.01860","2.3856e+07,1.5904e+07","0.50229,0.33486",0.6,0.1
9119,0.0024,0.0048,0.012,0.028,3,2.1768682931771486,3557000.0,"1.0468e+07,8.7235e+06,5.2341e+06","0.00407,0.00339,0.00203","2.3554e+07,1.9628e+07,1.1777e+07","0.04578,0.03815,0.02289",0.2,0.4
9120,0.004,0.0099,0.0306,0.075,2,1.9121184452665845,2970000.0,"1.7481e+07,1.1654e+07","0.02790,0.01860","5.2444e+07,3.4963e+07","0.50229,0.33486",0.6,0.1
9121,0.004,0.0099,0.0306,0.075,2,1.98714506670841,2289000.0,"1.3473e+07,8.9820e+06","0.02790,0.01860","4.0419e+07,2.6946e+07","0.50229,0.33486",0.6,0.1
9122,0.004,0.0099,0.0306,0.075,1,4.415140185420818,1712000.0,5.0384e+06,0.00913,1.5115e+07,0.16438,0.6,0.1
9123,0.004,0.0099,0.0306,0.075,1,4.27021122084971,632000.0,1.8600e+06,0.00913,5.5799e+06,0.16438,0.6,0.1
9124,0.004,0.0099,0.0306,0.075,2,2.19918398674399,3325000.0,"1.9571e+07,1.3047e+07","0.02790,0.01860","5.8713e+07,3.9142e+07","0.50229,0.33486",0.6,0.1
9125,0.004,0.0099,0.0306,0.075,2,2.1404820699722165,686500.0,"4.0407e+06,2.6938e+06","0.02790,0.01860","1.2122e+07,8.0815e+06","0.50229,0.33486",0.6,0.1
9126,0.004,0.0099,0.0306,0.075,1,4.390772409813352,504500.0,1.4847e+06,0.00913,4.4542e+06,0.16438,0.6,0.1
9127,0.004,0.0099,0.0306,0.075,1,4.096929265214131,872500.0,2.5678e+06,0.00913,7.7033e+06,0.16438,0.6,0.1
9128,0.004,0.0099,0.0306,0.075,1,4.390671509151362,4408000.0,1.2973e+07,0.00913,3.8918e+07,0.16438,0.6,0.1
9129,0.004,0.0099,0.0306,0.075,1,4.484731380517883,1573000.0,4.6293e+06,0.00913,1.3888e+07,0.16438,0.6,0.1
9130,0.004,0.0099,0.0306,0.075,1,4.5357271143597835,944000.0,2.7782e+06,0.00913,8.3346e+06,0.16438,0.6,0.1
9131,0.004,0.0099,0.0306,0.075,1,4.719182517620632,1021666.6666666666,3.0068e+06,0.00913,9.0203e+06,0.16438,0.6,0.1
9132,0.004,0.0099,0.0306,0.075,1,4.319599962178725,1485500.0,4.3718e+06,0.00913,1.3115e+07,0.16438,0.6,0.1
9133,0.004,0.0099,0.0306,0.075,1,4.326043698258938,1087750.0,3.2012e+06,0.00913,9.6037e+06,0.16438,0.6,0.1
9134,0.004,0.0099,0.0306,0.075,2,1.9771414129250797,3076000.0,"1.8105e+07,1.2070e+07","0.02790,0.01860","5.4316e+07,3.6211e+07","0.50229,0.33486",0.6,0.1
9135,0.005,0.0087,0.0233,0.06,3,1.9787195817930296,18706000.0,"6.8815e+07,5.7346e+07,3.4407e+07","0.00664,0.00554,0.00332","2.0644e+08,1.7204e+08,1.0322e+08","0.11694,0.09745,0.05847",0.5,0.4
9136,0.004,0.0099,0.0306,0.075,2,2.113101112747326,1540000.0,"9.0644e+06,6.0430e+06","0.02790,0.01860","2.7193e+07,1.8129e+07","0.50229,0.33486",0.6,0.1
9137,0.004,0.0099,0.0306,0.075,2,2.2486424341041737,1617000.0,"9.5177e+06,6.3451e+06","0.02790,0.01860","2.8553e+07,1.9035e+07","0.50229,0.33486",0.6,0.1
9138,0.004,0.0099,0.0306,0.075,2,2.0694039887567675,8009500.0,"4.7144e+07,3.1429e+07","0.02790,0.01860","1.4143e+08,9.4288e+07","0.50229,0.33486",0.6,0.1
9139,0.004,0.0099,0.0306,0.075,2,2.220267523873259,5316333.333333333,"3.1292e+07,2.0861e+07","0.02790,0.01860","9.3876e+07,6.2584e+07","0.50229,0.33486",0.6,0.1
9140,0.004,0.0099,0.0306,0.075,2,2.133427002248276,3780000.0,"2.2249e+07,1.4833e+07","0.02790,0.01860","6.6747e+07,4.4498e+07","0.50229,0.33486",0.6,0.1
9141,0.004,0.0099,0.0306,0.075,1,4.229566344152566,2232500.0,6.5702e+06,0.00913,1.9711e+07,0.16438,0.6,0.1
9142,0.004,0.0099,0.0306,0.075,2,2.160317911988997,1782000.0,"1.0489e+07,6.9926e+06","0.02790,0.01860","3.1467e+07,2.0978e+07","0.50229,0.33486",0.6,0.1
9143,0.004,0.0099,0.0306,0.075,1,4.184553701464932,1727000.0,5.0826e+06,0.00913,1.5248e+07,0.16438,0.6,0.1
9144,0.004,0.0099,0.0306,0.075,1,4.176635474605787,1349000.0,3.9701e+06,0.00913,1.1910e+07,0.16438,0.6,0.1
9145,0.004,0.0099,0.0306,0.075,2,1.959268910077359,300000.0,"1.7658e+06,1.1772e+06","0.02790,0.01860","5.2974e+06,3.5316e+06","0.50229,0.33486",0.6,0.1
9146,0.004,0.0099,0.0306,0.075,1,4.214623080469772,1568000.0,4.6146e+06,0.00913,1.3844e+07,0.16438,0.6,0.1
9147,0.004,0.0099,0.0306,0.075,1,4.166013015851617,2081000.0,6.1244e+06,0.00913,1.8373e+07,0.16438,0.6,0.1
9148,0.004,0.0099,0.0306,0.075,1,4.158518266881606,868000.0,2.5545e+06,0.00913,7.6636e+06,0.16438,0.6,0.1
9149,0.004,0.0099,0.0306,0.075,2,2.1785387350324874,3489000.0,"2.0536e+07,1.3691e+07","0.02790,0.01860","6.1609e+07,4.1073e+07","0.50229,0.33486",0.6,0.1
9150,0.004,0.0099,0.0306,0.075,1,4.410065191864204,1663000.0,4.8942e+06,0.00913,1.4683e+07,0.16438,0.6,0.1
9151,0.004,0.0099,0.0306,0.075,2,2.158514857231955,1915000.0,"1.1272e+07,7.5145e+06","0.02790,0.01860","3.3815e+07,2.2543e+07","0.50229,0.33486",0.6,0.1
9152,0.004,0.0099,0.0306,0.075,1,4.4849557711991945,1479500.0,4.3542e+06,0.00913,1.3063e+07,0.16438,0.6,0.1
9153,0.004,0.0099,0.0306,0.075,2,2.1958929839073176,2848000.0,"1.6763e+07,1.1176e+07","0.02790,0.01860","5.0290e+07,3.3527e+07","0.50229,0.33486",0.6,0.1
9154,0.004,0.012,0.04,0.1,2,2.102354452180791,5083000.0,"3.9891e+07,2.6594e+07","0.03721,0.02480","1.1967e+08,7.9783e+07","0.89218,0.59479",0.8,0.1
9155,0.004,0.0099,0.0306,0.075,1,4.169578952794211,8743600.0,2.5732e+07,0.00913,7.7197e+07,0.16438,0.6,0.1
9156,0.004,0.0099,0.0306,0.075,1,4.334468457773604,4011000.0,1.1804e+07,0.00913,3.5413e+07,0.16438,0.6,0.1
9157,0.004,0.0099,0.0306,0.075,1,4.391391863128062,1515000.0,4.4586e+06,0.00913,1.3376e+07,0.16438,0.6,0.1
9158,0.004,0.0099,0.0306,0.075,1,4.576113649664585,2264000.0,6.6630e+06,0.00913,1.9989e+07,0.16438,0.6,0.1
9159,0.004,0.0099,0.0306,0.075,1,4.529069575569284,1420666.6666666667,4.1810e+06,0.00913,1.2543e+07,0.16438,0.6,0.1
9160,0.004,0.0099,0.0306,0.075,1,4.153221192475956,1650000.0,4.8560e+06,0.00913,1.4568e+07,0.16438,0.6,0.1
9161,0.004,0.0099,0.0306,0.075,1,4.245491347603265,1240000.0,3.6493e+06,0.00913,1.0948e+07,0.16438,0.6,0.1
9162,0.004,0.0099,0.0306,0.075,1,4.412797158487155,1460500.0,4.2983e+06,0.00913,1.2895e+07,0.16438,0.6,0.1
9163,0.004,0.0099,0.0306,0.075,2,2.250630913227003,1979000.0,"1.1648e+07,7.7656e+06","0.02790,0.01860","3.4945e+07,2.3297e+07","0.50229,0.33486",0.6,0.1
9164,0.004,0.0099,0.0306,0.075,2,2.236157894069274,2101500.0,"1.2369e+07,8.2463e+06","0.02790,0.01860","3.7108e+07,2.4739e+07","0.50229,0.33486",0.6,0.1
9165,0.004,0.0099,0.0306,0.075,1,4.253592767167923,1752000.0,5.1561e+06,0.00913,1.5468e+07,0.16438,0.6,0.1
9166,0.004,0.0099,0.0306,0.075,2,2.00392861486686,2863000.0,"1.6852e+07,1.1234e+07","0.02790,0.01860","5.0555e+07,3.3703e+07","0.50229,0.33486",0.6,0.1
9167,0.004,0.0099,0.0306,0.075,2,2.0296510364973845,2398000.0,"1.4115e+07,9.4098e+06","0.02790,0.01860","4.2344e+07,2.8229e+07","0.50229,0.33486",0.6,0.1
9168,0.004,0.0099,0.0306,0.075,2,2.1628836826778874,2133500.0,"1.2558e+07,8.3719e+06","0.02790,0.01860","3.7673e+07,2.5116e+07","0.50229,0.33486",0.6,0.1
9169,0.004,0.0099,0.0306,0.075,2,2.1704227686882556,1210500.0,"7.1250e+06,4.7500e+06","0.02790,0.01860","2.1375e+07,1.4250e+07","0.50229,0.33486",0.6,0.1
9170,0.004,0.0099,0.0306,0.075,1,4.039108122216149,2711500.0,7.9799e+06,0.00913,2.3940e+07,0.16438,0.6,0.1
9171,0.004,0.0099,0.0306,0.075,1,4.276719975779957,2467500.0,7.2619e+06,0.00913,2.1786e+07,0.16438,0.6,0.1
9172,0.004,0.0099,0.0306,0.075,1,4.404025866678279,1310000.0,3.8553e+06,0.00913,1.1566e+07,0.16438,0.6,0.1
9173,0.004,0.0099,0.0306,0.075,2,2.0142549214938223,2284500.0,"1.3447e+07,8.9644e+06","0.02790,0.01860","4.0340e+07,2.6893e+07","0.50229,0.33486",0.6,0.1
9174,0.004,0.0099,0.0306,0.075,1,4.509596738435709,1747000.0,5.1414e+06,0.00913,1.5424e+07,0.16438,0.6,0.1
9175,0.004,0.0099,0.0306,0.075,2,2.09370272337911,2378000.0,"1.3997e+07,9.3313e+06","0.02790,0.01860","4.1991e+07,2.7994e+07","0.50229,0.33486",0.6,0.1
9176,0.004,0.0099,0.0306,0.075,2,2.2720700892265855,2126000.0,"1.2514e+07,8.3424e+06","0.02790,0.01860","3.7541e+07,2.5027e+07","0.50229,0.33486",0.6,0.1
9177,0.004,0.0099,0.0306,0.075,1,4.154887084628593,1277000.0,3.7582e+06,0.00913,1.1275e+07,0.16438,0.6,0.1
9178,0.004,0.0099,0.0306,0.075,1,4.053686039066985,2779000.0,8.1786e+06,0.00913,2.4536e+07,0.16438,0.6,0.1
9179,0.004,0.0099,0.0306,0.075,2,2.085281471360134,1615000.0,"9.5059e+06,6.3373e+06","0.02790,0.01860","2.8518e+07,1.9012e+07","0.50229,0.33486",0.6,0.1
9180,0.004,0.0099,0.0306,0.075,2,2.1234737047786685,872333.3333333334,"5.1346e+06,3.4230e+06","0.02790,0.01860","1.5404e+07,1.0269e+07","0.50229,0.33486",0.6,0.1
9181,0.004,0.0099,0.0306,0.075,2,2.09255686480667,2178500.0,"1.2823e+07,8.5484e+06","0.02790,0.01860","3.8468e+07,2.5645e+07","0.50229,0.33486",0.6,0.1
9182,0.004,0.0099,0.0306,0.075,2,2.1106809547809093,2747500.0,"1.6172e+07,1.0781e+07","0.02790,0.01860","4.8515e+07,3.2344e+07","0.50229,0.33486",0.6,0.1
9183,0.004,0.0099,0.0306,0.075,2,2.1695265225452265,1371000.0,"8.0697e+06,5.3798e+06","0.02790,0.01860","2.4209e+07,1.6139e+07","0.50229,0.33486",0.6,0.1
9184,0.004,0.0099,0.0306,0.075,1,4.2308330235707245,1593666.6666666663,4.6902e+06,0.00913,1.4070e+07,0.16438,0.6,0.1
9185,0.004,0.0099,0.0306,0.075,2,2.1265587740325196,2890000.0,"1.7011e+07,1.1340e+07","0.02790,0.01860","5.1032e+07,3.4021e+07","0.50229,0.33486",0.6,0.1
