BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
10807,0.004,0.0099,0.0306,0.075,1,4.264661595687031,2242500.0,6.5997e+06,0.00913,1.9799e+07,0.16438,0.6,0.1
10808,0.004,0.012,0.04,0.1,1,4.132781013263991,1480000.0,5.8075e+06,0.01218,1.7423e+07,0.29197,0.8,0.1
10809,0.004,0.0099,0.0306,0.075,1,4.376977812122249,1100000.0,3.2373e+06,0.00913,9.7119e+06,0.16438,0.6,0.1
10810,0.004,0.012,0.04,0.1,1,4.1177144291623895,3863000.0,1.5158e+07,0.01218,4.5475e+07,0.29197,0.8,0.1
10811,0.004,0.012,0.04,0.1,2,2.157879236168164,3229000.0,"2.5341e+07,1.6894e+07","0.03721,0.02480","7.6024e+07,5.0682e+07","0.89218,0.59479",0.8,0.1
10812,0.004,0.012,0.04,0.1,2,2.122940286635413,3229000.0,"2.5341e+07,1.6894e+07","0.03721,0.02480","7.6024e+07,5.0682e+07","0.89218,0.59479",0.8,0.1
10813,0.004,0.012,0.04,0.1,2,2.156651941600378,3389000.0,"2.6597e+07,1.7731e+07","0.03721,0.02480","7.9791e+07,5.3194e+07","0.89218,0.59479",0.8,0.1
10814,0.004,0.0099,0.0306,0.075,1,4.170228392491244,1343000.0,3.9524e+06,0.00913,1.1857e+07,0.16438,0.6,0.1
10815,0.004,0.0099,0.0306,0.075,1,4.195461977997423,1264000.0,3.7200e+06,0.00913,1.1160e+07,0.16438,0.6,0.1
10816,0.004,0.0099,0.0306,0.075,1,4.287733783826247,1300000.0,3.8259e+06,0.00913,1.1478e+07,0.16438,0.6,0.1
10817,0.004,0.012,0.04,0.1,2,2.1552665805870252,2069000.0,"1.6238e+07,1.0825e+07","0.03721,0.02480","4.8713e+07,3.2475e+07","0.89218,0.59479",0.8,0.1
10818,0.006,0.0104,0.0235,0.06,1,7.3136632688625385,2400000.0,2.9430e+06,0.00194,8.8290e+06,0.03444,1.0,0.0
10819,0.004,0.012,0.04,0.1,2,2.3235096243482696,2431500.0,"1.9082e+07,1.2722e+07","0.03721,0.02480","5.7247e+07,3.8165e+07","0.89218,0.59479",0.8,0.1
10820,0.003,0.006,0.015,0.035,1,,10982000.0,1.0773e+07,0.00076,2.4240e+07,0.00856,0.3,0.4
10821,0.004,0.0099,0.0306,0.075,2,2.1267617211133834,590000.0,"3.4727e+06,2.3152e+06","0.02790,0.01860","1.0418e+07,6.9455e+06","0.50229,0.33486",0.6,0.1
10822,0.004,0.0099,0.0306,0.075,1,3.9443194240822934,615000.0,1.8099e+06,0.00913,5.4298e+06,0.16438,0.6,0.1
10823,0.004,0.012,0.04,0.1,2,2.1736651843918806,2950000.0,"2.3152e+07,1.5434e+07","0.03721,0.02480","6.9455e+07,4.6303e+07","0.89218,0.59479",0.8,0.1
10824,0.004,0.012,0.04,0.1,1,4.035763679485438,1335000.0,5.2385e+06,0.01218,1.5716e+07,0.29197,0.8,0.1
10825,0.004,0.0099,0.0306,0.075,1,4.208230967536916,48110.256410256414,1.4159e+05,0.00913,4.2477e+05,0.16438,0.6,0.1
10826,0.004,0.0099,0.0306,0.075,1,4.188550193472465,1146000.0,3.3727e+06,0.00913,1.0118e+07,0.16438,0.6,0.1
10827,0.004,0.0099,0.0306,0.075,1,4.327553759600383,275000.0,8.0932e+05,0.00913,2.4280e+06,0.16438,0.6,0.1
10828,0.004,0.0099,0.0306,0.075,1,4.1508715679608095,1584000.0,4.6617e+06,0.00913,1.3985e+07,0.16438,0.6,0.1
10829,0.004,0.0099,0.0306,0.075,1,4.142057270121437,1130000.0,3.3256e+06,0.00913,9.9768e+06,0.16438,0.6,0.1
10830,0.004,0.012,0.04,0.1,1,4.5848193176118786,1278000.0,5.0149e+06,0.01218,1.5045e+07,0.29197,0.8,0.1
10831,0.004,0.0099,0.0306,0.075,1,4.328349164339865,1152000.0,3.3903e+06,0.00913,1.0171e+07,0.16438,0.6,0.1
10832,0.004,0.0099,0.0306,0.075,1,4.149157625552762,1372000.0,4.0378e+06,0.00913,1.2113e+07,0.16438,0.6,0.1
10833,0.004,0.0099,0.0306,0.075,1,4.2140163312750945,1184000.0,3.4845e+06,0.00913,1.0454e+07,0.16438,0.6,0.1
