BuildingIndex,DS1_idr,DS2_idr,DS3_idr,DS4_idr,NS,story_height,mass,ys,yd,us,ud,pinch,beta
7958,0.004,0.012,0.04,0.1,2,2.0834095750061294,3302000.0,"2.5914e+07,1.7276e+07","0.03721,0.02480","7.7742e+07,5.1828e+07","0.89218,0.59479",0.8,0.1
7959,0.004,0.0099,0.0306,0.075,1,4.388964693350044,1772000.0,5.2150e+06,0.00913,1.5645e+07,0.16438,0.6,0.1
7960,0.004,0.012,0.04,0.1,1,4.000168224320195,5406000.0,2.1213e+07,0.01218,6.3639e+07,0.29197,0.8,0.1
7961,0.004,0.0099,0.0306,0.075,1,4.179860357698005,1929000.0,5.6770e+06,0.00913,1.7031e+07,0.16438,0.6,0.1
7962,0.004,0.0099,0.0306,0.075,1,4.34833805961984,3312000.0,9.7472e+06,0.00913,2.9242e+07,0.16438,0.6,0.1
7963,0.004,0.012,0.04,0.1,2,2.208633102314661,1904000.0,"1.4943e+07,9.9617e+06","0.03721,0.02480","4.4828e+07,2.9885e+07","0.89218,0.59479",0.8,0.1
7964,0.004,0.012,0.04,0.1,2,2.0547394879381446,11130500.0,"8.7352e+07,5.8235e+07","0.03721,0.02480","2.6206e+08,1.7470e+08","0.89218,0.59479",0.8,0.1
7965,0.004,0.012,0.04,0.1,2,2.0870907467990127,2974000.0,"2.3340e+07,1.5560e+07","0.03721,0.02480","7.0020e+07,4.6680e+07","0.89218,0.59479",0.8,0.1
7966,0.004,0.012,0.04,0.1,2,2.2952425533561662,2652000.0,"2.0813e+07,1.3875e+07","0.03721,0.02480","6.2439e+07,4.1626e+07","0.89218,0.59479",0.8,0.1
7967,0.004,0.012,0.04,0.1,2,2.2612236953476503,2462000.0,"1.9322e+07,1.2881e+07","0.03721,0.02480","5.7965e+07,3.8644e+07","0.89218,0.59479",0.8,0.1
7968,0.004,0.0099,0.0306,0.075,1,4.311909025053612,730000.0,2.1484e+06,0.00913,6.4452e+06,0.16438,0.6,0.1
7969,0.004,0.0099,0.0306,0.075,1,3.815705657318089,1606000.0,4.7265e+06,0.00913,1.4179e+07,0.16438,0.6,0.1
7970,0.004,0.008,0.024,0.07,1,6.9115190401483,1564444.4444444443,8.1801e+06,0.00406,1.6360e+07,0.06483,0.6,0.1
7971,0.004,0.0099,0.0306,0.075,1,4.26294952032404,1296000.0,3.8141e+06,0.00913,1.1442e+07,0.16438,0.6,0.1
7972,0.004,0.0099,0.0306,0.075,1,4.2010291103308814,2200000.0,6.4746e+06,0.00913,1.9424e+07,0.16438,0.6,0.1
7973,0.004,0.012,0.04,0.1,2,2.0785960660885507,2044000.0,"1.6041e+07,1.0694e+07","0.03721,0.02480","4.8124e+07,3.2083e+07","0.89218,0.59479",0.8,0.1
7974,0.004,0.0099,0.0306,0.075,1,4.3482620055323995,1198000.0,3.5257e+06,0.00913,1.0577e+07,0.16438,0.6,0.1
7975,0.004,0.0099,0.0306,0.075,1,4.350483567671418,1912000.0,5.6270e+06,0.00913,1.6881e+07,0.16438,0.6,0.1
7976,0.004,0.0099,0.0306,0.075,1,4.474923551431671,1596000.0,4.6970e+06,0.00913,1.4091e+07,0.16438,0.6,0.1
7977,0.004,0.0099,0.0306,0.075,1,4.0741199746440575,2102000.0,6.1862e+06,0.00913,1.8559e+07,0.16438,0.6,0.1
7978,0.004,0.012,0.04,0.1,2,2.1005221359235535,1236000.0,"9.7001e+06,6.4668e+06","0.03721,0.02480","2.9100e+07,1.9400e+07","0.89218,0.59479",0.8,0.1
7979,0.004,0.012,0.04,0.1,1,4.723193503823166,1899000.0,7.4517e+06,0.01218,2.2355e+07,0.29197,0.8,0.1
7980,0.004,0.0099,0.0306,0.075,1,4.31538871949426,1651000.0,4.8589e+06,0.00913,1.4577e+07,0.16438,0.6,0.1
7981,0.004,0.0099,0.0306,0.075,1,4.230548508870013,1704000.0,5.0149e+06,0.00913,1.5045e+07,0.16438,0.6,0.1
7982,0.004,0.012,0.04,0.1,2,2.0354762186710134,1027500.0,"8.0638e+06,5.3759e+06","0.03721,0.02480","2.4191e+07,1.6128e+07","0.89218,0.59479",0.8,0.1
7983,0.004,0.0099,0.0306,0.075,2,2.188261535491584,2102000.0,"1.2372e+07,8.2482e+06","0.02790,0.01860","3.7117e+07,2.4745e+07","0.50229,0.33486",0.6,0.1
7984,0.004,0.012,0.04,0.1,1,4.4929467816724165,3423000.0,1.3432e+07,0.01218,4.0296e+07,0.29197,0.8,0.1
7985,0.004,0.012,0.04,0.1,2,2.2289710717184565,2506000.0,"1.9667e+07,1.3111e+07","0.03721,0.02480","5.9001e+07,3.9334e+07","0.89218,0.59479",0.8,0.1
7986,0.004,0.012,0.04,0.1,1,4.212337971775098,1997000.0,7.8362e+06,0.01218,2.3509e+07,0.29197,0.8,0.1
7987,0.004,0.012,0.04,0.1,1,4.344977101460346,1401000.0,5.4975e+06,0.01218,1.6493e+07,0.29197,0.8,0.1
7988,0.004,0.012,0.04,0.1,1,4.63919493723429,4425000.0,1.7364e+07,0.01218,5.2091e+07,0.29197,0.8,0.1
7989,0.004,0.012,0.04,0.1,2,2.2509555354674378,2906000.0,"2.2806e+07,1.5204e+07","0.03721,0.02480","6.8419e+07,4.5613e+07","0.89218,0.59479",0.8,0.1
7990,0.004,0.012,0.04,0.1,2,2.0515642619378656,3343000.0,"2.6236e+07,1.7491e+07","0.03721,0.02480","7.8708e+07,5.2472e+07","0.89218,0.59479",0.8,0.1
7991,0.004,0.012,0.04,0.1,2,1.8785692326845203,3619000.0,"2.8402e+07,1.8935e+07","0.03721,0.02480","8.5206e+07,5.6804e+07","0.89218,0.59479",0.8,0.1
7992,0.004,0.012,0.04,0.1,1,4.330991500712467,3704000.0,1.4534e+07,0.01218,4.3603e+07,0.29197,0.8,0.1
7993,0.004,0.012,0.04,0.1,1,4.441029774664711,2188000.0,8.5857e+06,0.01218,2.5757e+07,0.29197,0.8,0.1
7994,0.004,0.012,0.04,0.1,2,2.0205090190383452,1182500.0,"9.2803e+06,6.1868e+06","0.03721,0.02480","2.7841e+07,1.8561e+07","0.89218,0.59479",0.8,0.1
